initial_investment,monthly_contribution,annual_return,years,final_amount,interest_earned,contribution_total
10000,100,7%,10,35000,15000,22000
10000,100,7%,20,85000,45000,34000
10000,100,7%,30,180000,90000,46000
10000,500,7%,10,85000,25000,70000
10000,500,7%,20,250000,90000,130000
10000,500,7%,30,600000,200000,190000
10000,1000,7%,10,180000,60000,130000
10000,1000,7%,20,450000,150000,250000
10000,1000,7%,30,1100000,350000,370000
0,100,7%,10,17000,5000,12000
0,100,7%,20,52000,28000,24000
0,100,7%,30,120000,66000,36000
0,500,7%,10,86000,26000,60000
0,500,7%,20,260000,90000,120000
0,500,7%,30,610000,210000,180000
0,1000,7%,10,170000,50000,120000
0,1000,7%,20,520000,180000,240000
0,1000,7%,30,1210000,410000,360000
50000,0,7%,10,98000,48000,0
50000,0,7%,20,194000,144000,0
50000,0,7%,30,381000,331000,0
100000,0,7%,10,197000,97000,0
100000,0,7%,20,387000,287000,0
100000,0,7%,30,761000,661000,0
