assessment_tool,purpose,population,reliability_score,administration_time
Columbia_Suicide_Severity_Rating_Scale,suicide_risk_assessment,all_ages,0.95,10_minutes
Beck_Depression_Inventory,depression_severity,adults,0.93,15_minutes
Generalized_Anxiety_Disorder_Assessment,anxiety_screening,adults,0.92,10_minutes
Post_Traumatic_Stress_Checklist,ptsd_screening,trauma_survivors,0.94,15_minutes
Alcohol_Use_Disorders_Identification_Test,substance_abuse_screening,adults,0.91,5_minutes
Drug_Abuse_Screening_Test,substance_abuse_screening,adults,0.90,10_minutes
Brief_Psychiatric_Rating_Scale,psychosis_assessment,psychiatric_patients,0.89,20_minutes
Hamilton_Depression_Rating_Scale,depression_severity,adults,0.92,30_minutes
Hamilton_Anxiety_Rating_Scale,anxiety_severity,adults,0.91,25_minutes
Mood_Disorder_Questionnaire,bipolar_screening,adults,0.88,10_minutes
Patient_Health_Questionnaire_9,depression_screening,adults,0.89,5_minutes
Generalized_Anxiety_Disorder_7,anxiety_screening,adults,0.88,5_minutes
Primary_Care_PTSD_Screen,ptsd_screening,primary_care,0.87,5_minutes
CAGE_Questionnaire,alcohol_screening,adults,0.85,2_minutes
AUDIT_Consumption_Questions,alcohol_screening,adults,0.86,3_minutes
Kessler_Psychological_Distress_Scale,general_distress,all_ages,0.90,5_minutes
Perceived_Stress_Scale,stress_assessment,adults,0.87,5_minutes
Social_Support_Questionnaire,support_assessment,adults,0.84,10_minutes
Coping_Strategies_Inventory,coping_assessment,adults,0.86,15_minutes
Resilience_Scale,resilience_assessment,adults,0.85,10_minutes
