documentation_element,required_content,format_standard,retention_period,confidentiality_level
crisis_assessment,Presenting_problem risk_factors safety_concerns,structured_narrative,7_years,high_confidentiality
intervention_actions,Time_stamp actions_taken response_effectiveness,chronological_log,7_years,high_confidentiality
safety_planning,Identified_triggers coping_strategies emergency_contacts,structured_template,7_years,high_confidentiality
risk_assessment,Current_risk_level protective_factors warning_signs,standardized_scale,7_years,high_confidentiality
collateral_information,Family_contacts provider_information relevant_history,contact_log,7_years,high_confidentiality
medication_documentation,Current_medications compliance_concerns side_effects,medication_log,7_years,high_confidentiality
disposition_planning,Follow_up_arrangements referral_information discharge_instructions,discharge_summary,7_years,high_confidentiality
legal_documentation,Mandatory_reporting_actions legal_holds protective_orders,legal_log,permanent,high_confidentiality
communication_log,Interactions_with_family_providers_agencies,communication_record,7_years,high_confidentiality
outcome_tracking,Resolution_of_crisis follow_up_compliance readmission_risk,outcome_summary,7_years,high_confidentiality
cultural_considerations,Cultural_background language_preferences spiritual_needs,cultural_assessment,7_years,high_confidentiality
trauma_history,Trauma_exposure triggers trauma_responses,trauma_assessment,7_years,high_confidentiality
substance_use_documentation,Current_use withdrawal_risk treatment_history,substance_log,7_years,high_confidentiality
mental_status_examination,Appearance behavior mood cognition insight,mental_status_exam,7_years,high_confidentiality
vital_signs_documentation,Blood_pressure heart_rate temperature oxygen_saturation,vital_signs_log,7_years,high_confidentiality
injury_documentation,Visible_injuries mechanism_of_injury medical_attention_needed,injury_assessment,7_years,high_confidentiality
witness_statements,Third_party_observations corroborating_information,statement_record,7_years,high_confidentiality
environmental_assessment,Setting_triggers safety_concerns environmental_factors,environmental_log,7_years,high_confidentiality
provider_consultation,Consultation_reason recommendations follow_up_plan,consultation_note,7_years,high_confidentiality
quality_assurance,Documentation_completeness accuracy compliance_standards,qa_review,7_years,high_confidentiality
