medication_category,crisis_indication,administration_guidelines,monitoring_requirements,contraindications
antipsychotics,acute_psychosis,Immediate_administration_oral_or_injection,Monitor_vital_signs_extrapyramidal_symptoms,Allergy_previous_adverse_reactions
antipsychotics,agitation_aggression,Calm_environment_oral_or_injection_administration,Monitor_sedation_respiratory_function,Cardiac_conditions_elderly_population
antipsychotics,delusions_hallucinations,Reality_orientation_with_medication_administration,Monitor_psychotic_symptoms_side_effects,Neurological_conditions_metabolic_disorders
benzodiazepines,acute_anxiety_panic,Immediate_oral_or_injection_administration,Monitor_respiratory_function_sedation_level,Respiratory_depression_substance_abuse
benzodiazepines,agitation_restlessness,Calm_environment_medication_administration,Monitor_behavior_sedation_level,Alcohol_intoxication_respiratory_conditions
benzodiazepines,seizure_prevention,Prophylactic_administration_for_withdrawal,Monitor_seizure_activity_vital_signs,Severe_respiratory_depression_allergy
mood_stabilizers,manic_episodes,Immediate_administration_loading_dose_consideration,Monitor_mood_symptoms_blood_levels,Kidney_disease_thyroid_disorders
mood_stabilizers,aggressive_behavior,Behavioral_management_with_medication,Monitor_behavior_blood_levels,Cardiac_conditions_renal_impairment
mood_stabilizers,impulsivity_risk_taking,Safety_measures_with_medication_administration,Monitor_behavior_side_effects,Dehydration_electrolyte_imbalance
antidepressants,acute_depression,Immediate_administration_safety_monitoring,Monitor_suicidal_thoughts_mood_changes,Recent_manic_episode_allergy
antidepressants,suicidal_ideation,Close_monitoring_with_medication_administration,Monitor_suicidal_thoughts_behavior,Severe_liver_disease_bleeding_disorders
antidepressants,panic_attacks,Immediate_administration_with_anxiety_management,Monitor_panic_symptoms_side_effects,Recent_heart_attack_glaucoma
naloxone,opioid_overdose,Immediate_administration_rescue_breathing,Monitor_respiratory_function_consciousness,No_contraindications_emergency_use
naloxone,respiratory_depression,Immediate_administration_medical_monitoring,Monitor_respiratory_function_vital_signs,No_contraindications_emergency_use
naloxone,unconsciousness_suspected_overdose,Immediate_administration_emergency_services,Monitor_consciousness_respiratory_function,No_contraindications_emergency_use
sedatives,severe_agitation,Calm_environment_medication_administration,Monitor_sedation_respiratory_function,Respiratory_depression_substance_abuse
sedatives,insomnia_crisis,Sleep_hygiene_with_medication_administration,Monitor_sleep_patterns_side_effects,Respiratory_conditions_elderly_population
sedatives,anxiety_crisis,Anxiety_management_with_medication,Monitor_anxiety_symptoms_sedation_level,Severe_depression_respiratory_conditions
anticonvulsants,seizure_activity,Immediate_administration_medical_monitoring,Monitor_seizure_activity_blood_levels,Liver_disease_blood_disorders
anticonvulsants,mood_stabilization,Loading_dose_consideration_blood_monitoring,Monitor_mood_symptoms_blood_levels,Kidney_disease_thyroid_disorders
anticonvulsants,aggressive_behavior,Behavioral_management_with_medication,Monitor_behavior_blood_levels,Severe_liver_disease_allergy
