strategy,description,risk_level,time_horizon,typical_returns,key_benefits,key_risks
Dollar Cost Averaging,Invest fixed amount regularly regardless of price,Low,Long-term,8-12%,Reduces timing risk,May miss market rallies
Value Investing,Buy undervalued stocks below intrinsic value,Medium,Medium-long,10-15%,Potential for high returns,Requires research and patience
Growth Investing,Invest in companies with high growth potential,High,Long-term,12-20%,High return potential,High volatility and risk
Dividend Investing,Focus on stocks with consistent dividend payments,Low-Medium,Long-term,8-12%,Steady income stream,Limited growth potential
Index Investing,Match market performance with low-cost funds,Low,Long-term,8-12%,Low fees, diversification,No outperformance
Momentum Investing,Buy stocks trending upward,High,Short-medium,15-25%,Can capture trends,High risk of reversal
Contrarian Investing,Go against market sentiment,High,Medium-long,12-18%,Buy low sell high,Can be wrong for long periods
Sector Rotation,Move between sectors based on economic cycles,Medium-High,Medium,10-15%,Can outperform market,Requires timing
Small Cap Investing,Focus on smaller companies,High,Long-term,12-18%,Higher growth potential,Higher volatility
International Investing,Invest in foreign markets,Medium-High,Long-term,8-15%,Diversification,Currency and political risk
Real Estate Investing,Invest in property or REITs,Medium,Long-term,8-12%,Income and appreciation,Liquidity and management
Bond Laddering,Buy bonds with staggered maturities,Low,Medium-long,4-8%,Steady income,Interest rate risk
Options Trading,Use options for leverage or income,Very High,Short-term,20-50%,High leverage potential,Complex and risky
Commodity Investing,Invest in physical commodities,High,Medium-long,5-15%,Inflation hedge,High volatility
Cryptocurrency,Invest in digital currencies,Very High,Short-medium,50-200%,High growth potential,Extreme volatility
