sector,description,risk_level,typical_returns,volatility,economic_sensitivity
Technology,Software, hardware, internet services,High,15-20%,High,High
Healthcare,Pharmaceuticals, medical devices, biotech,Medium-High,12-18%,Medium-High,Medium
Financial Services,Banks, insurance, investment firms,Medium,10-15%,Medium,High
Consumer Discretionary,Retail, automotive, entertainment,Medium,10-15%,Medium,High
Consumer Staples,Food, beverages, household products,Low,8-12%,Low,Low
Energy,Oil, gas, renewable energy,High,12-20%,High,High
Industrials,Manufacturing, aerospace, construction,Medium,10-15%,Medium,High
Materials,Chemicals, metals, mining,High,12-18%,High,High
Real Estate,REITs, property development,Low-Medium,8-12%,Medium,Medium
Utilities,Electric, gas, water companies,Low,6-10%,Low,Low
Communication Services,Telecom, media, social platforms,Medium-High,12-18%,Medium-High,Medium
Energy_Alternative,Renewable energy, clean tech,High,15-25%,High,Medium
Financial_Technology,Digital payments, fintech,High,15-25%,High,Medium
Biotechnology,Medical research, drug development,Very High,20-30%,Very High,Medium
Cannabis,Marijuana, hemp, CBD products,Very High,25-40%,Very High,Medium
