resource_type,service_name,contact_info,availability,specialization
crisis_hotline,National_Suicide_Prevention,988,24_7,suicide_prevention
crisis_hotline,Crisis_Text_Line,Text_741741,24_7,text_based_support
crisis_hotline,National_Domestic_Violence,1_800_799_7233,24_7,domestic_violence
crisis_hotline,RAINN_Sexual_Assault,1_800_656_4673,24_7,sexual_assault
crisis_hotline,Veterans_Crisis_Line,1_800_273_8255,24_7,veteran_support
emergency_services,911,Emergency_Response,24_7,all_emergencies
emergency_services,Local_Police,Department_Contact,24_7,law_enforcement
emergency_services,Ambulance,Medical_Transport,24_7,medical_emergency
mental_health_clinic,Community_Mental_Health,Local_Contact,weekdays,general_mental_health
mental_health_clinic,Psychiatric_Emergency,Local_Hospital,24_7,psychiatric_crisis
substance_abuse,Alcoholics_Anonymous,Local_Meetings,various,alcohol_recovery
substance_abuse,Narcotics_Anonymous,Local_Meetings,various,drug_recovery
substance_abuse,Substance_Abuse_Hotline,1_800_662_4357,24_7,substance_abuse
lgbtq_support,Trevor_Project,1_866_488_7386,24_7,lgbtq_youth
lgbtq_support,Trans_Lifeline,1_877_565_8860,24_7,trans_support
elder_support,Elder_Abuse_Hotline,1_800_677_1116,24_7,elder_abuse
child_support,Childhelp_National,1_800_422_4453,24_7,child_abuse
legal_aid,Legal_Aid_Society,Local_Contact,weekdays,legal_assistance
housing_support,Local_Shelters,Community_Contact,various,emergency_housing
financial_aid,Social_Services,Government_Contact,weekdays,financial_assistance
transportation,Public_Transit,Local_Service,various,transportation_needs
