investment_type,tax_treatment,holding_period,capital_gains_rate,ordinary_income_rate,special_considerations
Stocks,Capital gains,Short-term: <1 year,15-20%,Marginal tax rate,Qualified dividends taxed at capital gains rate
Bonds,Ordinary income,Any,0%,Marginal tax rate,Interest payments taxed as ordinary income
Municipal Bonds,Tax-exempt,Any,0%,0%,Federal tax-free, state may apply
REITs,Ordinary income,Any,15-20%,Marginal tax rate,Most distributions taxed as ordinary income
ETFs,Capital gains,Short-term: <1 year,15-20%,Marginal tax rate,Generally more tax-efficient than mutual funds
Mutual Funds,Capital gains,Short-term: <1 year,15-20%,Marginal tax rate,May generate capital gains even if you don't sell
401k,Deferred,Until withdrawal,0%,Marginal tax rate,Pre-tax contributions, taxed on withdrawal
Traditional IRA,Deferred,Until withdrawal,0%,Marginal tax rate,Pre-tax contributions, taxed on withdrawal
Roth IRA,Tax-free,Until withdrawal,0%,0%,After-tax contributions, tax-free withdrawals
HSA,Tax-free,Medical expenses,0%,0%,Triple tax advantage if used for medical
529 Plan,Tax-free,Education expenses,0%,0%,Tax-free for qualified education expenses
Annuities,Deferred,Until withdrawal,0%,Marginal tax rate,Tax-deferred growth, taxed on withdrawal
Commodities,Capital gains,Short-term: <1 year,15-20%,Marginal tax rate,May be subject to collectibles tax
Cryptocurrency,Capital gains,Short-term: <1 year,15-20%,Marginal tax rate,Treated as property for tax purposes
