bond_type,issuer,risk_level,yield_range,credit_rating,maturity_range,key_features
Treasury Bills,US Government,Very Low,2-5%,AAA,1-12 months,Backed by US government
Treasury Notes,US Government,Very Low,3-6%,AAA,2-10 years,Backed by US government
Treasury Bonds,US Government,Very Low,4-7%,AAA,10-30 years,Backed by US government
TIPS,Treasury Inflation-Protected Securities,Very Low,1-3%,AAA,5-30 years,Inflation protection
Municipal Bonds,State and local governments,Low-Medium,3-6%,AA-BBB,1-30 years,Tax advantages
Corporate Bonds,Private companies,Medium-High,4-12%,AAA-D,1-30 years,Higher yields
High Yield Bonds,Companies with lower credit ratings,High,6-15%,BB-D,1-30 years,High risk and return
International Bonds,Foreign governments and companies,Medium-High,3-10%,AAA-D,1-30 years,Currency risk
Emerging Market Bonds,Developing countries,High,6-15%,BB-D,1-30 years,Political and currency risk
Agency Bonds,Fannie Mae, Freddie Mac,Low,3-6%,AA-AAA,1-30 years,Government-sponsored
Convertible Bonds,Private companies,Medium-High,2-8%,BB-AAA,1-30 years,Can convert to stock
Zero Coupon Bonds,Various issuers,Medium,4-8%,AAA-D,1-30 years,No periodic interest payments
Floating Rate Bonds,Various issuers,Medium,3-8%,AA-D,1-30 years,Interest rate adjusts
Preferred Stock,Private companies,Medium-High,4-8%,BB-AAA,Perpetual,Dividend priority over common stock
