resource_type,service_name,service_description,availability_hours,eligibility_criteria
crisis_centers,Mobile_crisis_teams,24_7_mobile_crisis_intervention_services,24_7,all_ages_mental_health_crisis
crisis_centers,Crisis_stabilization_units,Short_term_crisis_stabilization_services,24_7,acute_mental_health_crisis
crisis_centers,Warm_lines,Non_crisis_emotional_support_services,evening_hours,general_emotional_support
crisis_centers,Peer_support_centers,Peer_led_support_services_recovery_programs,daytime_hours,mental_health_consumers
mental_health_clinics,Community_mental_health,Comprehensive_mental_health_services,weekday_hours,medicaid_insured
mental_health_clinics,Sliding_scale_clinics,Affordable_mental_health_services,weekday_hours,income_based
mental_health_clinics,University_clinics,Training_clinics_with_supervision,weekday_hours,general_population
substance_abuse_treatment,Detoxification_centers,Medical_detoxification_services,24_7,substance_abuse_crisis
substance_abuse_treatment,Residential_treatment,Long_term_residential_treatment_programs,24_7,substance_abuse_disorder
substance_abuse_treatment,Outpatient_programs,Outpatient_substance_abuse_treatment,weekday_hours,substance_abuse_disorder
domestic_violence_services,Shelters,Emergency_shelter_services_for_domestic_violence,24_7,domestic_violence_survivors
domestic_violence_services,Advocacy_services,Legal_advocacy_counseling_support_services,weekday_hours,domestic_violence_survivors
domestic_violence_services,Support_groups,Peer_support_groups_for_survivors,evening_hours,domestic_violence_survivors
homeless_services,Emergency_shelters,Emergency_shelter_services_for_homeless,24_7,homeless_population
homeless_services,Transitional_housing,Long_term_housing_support_services,24_7,homeless_population
homeless_services,Street_outreach,Outreach_services_to_homeless_population,daytime_hours,homeless_population
lgbtq_services,Lgbtq_centers,Comprehensive_lgbtq_support_services,daytime_hours,lgbtq_population
lgbtq_services,Lgbtq_counseling,Affirmative_mental_health_services,weekday_hours,lgbtq_population
lgbtq_services,Lgbtq_support_groups,Peer_support_groups_for_lgbtq_individuals,evening_hours,lgbtq_population
veteran_services,Veterans_affairs,Comprehensive_veteran_mental_health_services,weekday_hours,veterans
veteran_services,Veteran_crisis_line,24_7_crisis_support_for_veterans,24_7,veterans
veteran_services,Veteran_support_groups,Peer_support_groups_for_veterans,evening_hours,veterans
elder_services,Adult_protective_services,Protection_services_for_elderly_adults,weekday_hours,elderly_adults
elder_services,Senior_centers,Social_support_services_for_elderly,daytime_hours,elderly_adults
elder_services,Elder_mental_health,Specialized_mental_health_services_for_elderly,weekday_hours,elderly_adults
child_services,Child_protective_services,Protection_services_for_children,24_7,children_at_risk
child_services,Child_mental_health,Specialized_mental_health_services_for_children,weekday_hours,children
child_services,Family_support_services,Family_counseling_support_services,weekday_hours,families
legal_services,Legal_aid,Free_legal_services_for_low_income,weekday_hours,low_income_individuals
legal_services,Pro_bono_services,Volunteer_legal_services,weekday_hours,low_income_individuals
legal_services,Legal_advocacy,Legal_advocacy_for_mental_health_rights,weekday_hours,mental_health_consumers
