analytics_category,metric_name,data_collection_method,analysis_frequency,insight_type
crisis_volume,Total_crisis_incidents,Electronic_health_records_crisis_logs,daily_analysis,Operational_trends
crisis_volume,Crisis_incidents_by_type,Incident_classification_coding,daily_analysis,Pattern_identification
crisis_volume,Crisis_incidents_by_time,Timestamp_analysis_hourly_daily_weekly,weekly_analysis,Time_based_patterns
crisis_volume,Crisis_incidents_by_location,Geographic_location_tracking,weekly_analysis,Geographic_patterns
response_metrics,Time_to_crisis_assessment,Timestamp_difference_calculation,real_time_analysis,Performance_monitoring
response_metrics,Time_to_intervention,Intervention_timestamp_analysis,real_time_analysis,Performance_monitoring
response_metrics,Time_to_resolution,Crisis_resolution_timestamp_analysis,daily_analysis,Performance_monitoring
response_metrics,Response_time_by_crisis_type,Type_specific_response_time_analysis,weekly_analysis,Performance_patterns
outcome_metrics,Crisis_resolution_rate,Resolution_status_tracking,weekly_analysis,Effectiveness_measurement
outcome_metrics,Readmission_rate,Readmission_tracking_30_day_window,monthly_analysis,Effectiveness_measurement
outcome_metrics,Suicide_attempts_post_crisis,Follow_up_suicide_attempt_tracking,monthly_analysis,Safety_outcomes
outcome_metrics,Violence_incidents_post_crisis,Follow_up_violence_incident_tracking,monthly_analysis,Safety_outcomes
patient_demographics,Age_distribution_crisis_patients,Demographic_data_analysis,monthly_analysis,Population_characteristics
patient_demographics,Gender_distribution_crisis_patients,Gender_data_analysis,monthly_analysis,Population_characteristics
patient_demographics,Race_ethnicity_crisis_patients,Race_ethnicity_data_analysis,monthly_analysis,Population_characteristics
patient_demographics,Socioeconomic_status_crisis_patients,Socioeconomic_data_analysis,monthly_analysis,Population_characteristics
risk_factors,Primary_diagnosis_crisis_patients,Diagnostic_data_analysis,monthly_analysis,Clinical_patterns
risk_factors,Substance_abuse_crisis_patients,Substance_abuse_data_analysis,monthly_analysis,Clinical_patterns
risk_factors,Trauma_history_crisis_patients,Trauma_history_data_analysis,monthly_analysis,Clinical_patterns
risk_factors,Previous_crisis_history,Historical_crisis_data_analysis,monthly_analysis,Clinical_patterns
intervention_effectiveness,Intervention_type_effectiveness,Intervention_outcome_correlation,monthly_analysis,Effectiveness_measurement
intervention_effectiveness,Medication_effectiveness_crisis,Medication_outcome_correlation,monthly_analysis,Effectiveness_measurement
intervention_effectiveness,De_escalation_technique_effectiveness,Technique_outcome_correlation,monthly_analysis,Effectiveness_measurement
intervention_effectiveness,Safety_planning_effectiveness,Safety_plan_outcome_correlation,monthly_analysis,Effectiveness_measurement
resource_utilization,Staff_time_per_crisis,Staff_time_tracking_analysis,weekly_analysis,Resource_efficiency
resource_utilization,Resource_allocation_by_crisis_type,Resource_usage_by_type_analysis,weekly_analysis,Resource_efficiency
resource_utilization,Cost_per_crisis_intervention,Cost_analysis_per_intervention,monthly_analysis,Financial_efficiency
resource_utilization,Resource_availability_impact,Resource_availability_outcome_correlation,monthly_analysis,Resource_efficiency
quality_indicators,Documentation_completeness_rate,Documentation_audit_analysis,monthly_analysis,Quality_measurement
quality_indicators,Protocol_adherence_rate,Protocol_compliance_audit,monthly_analysis,Quality_measurement
quality_indicators,Patient_satisfaction_scores,Patient_satisfaction_survey_analysis,quarterly_analysis,Quality_measurement
quality_indicators,Staff_competency_scores,Staff_competency_assessment_analysis,quarterly_analysis,Quality_measurement
predictive_analytics,Crisis_risk_prediction_model,Risk_factor_analysis_machine_learning,monthly_analysis,Predictive_modeling
predictive_analytics,Readmission_risk_prediction,Readmission_risk_factor_analysis,monthly_analysis,Predictive_modeling
predictive_analytics,Intervention_effectiveness_prediction,Intervention_outcome_prediction_model,monthly_analysis,Predictive_modeling
predictive_analytics,Resource_needs_prediction,Resource_demand_forecasting_model,monthly_analysis,Predictive_modeling
