emergency_type,protocol_name,immediate_actions,response_team,escalation_path
suicide_attempt,Code_Suicide,Ensure_safety_medical_attention_psychiatric_evaluation,Medical_team_psychiatric_team,Immediate_hospitalization
suicide_attempt,Active_Suicide_Protocol,Remove_means_ensure_safety_medical_assessment,Crisis_team_medical_team,Psychiatric_emergency
suicide_attempt,Suicide_Gesture_Protocol,Medical_assessment_safety_planning_psychiatric_evaluation,Medical_team_psychiatric_team,Intensive_monitoring
violent_behavior,Code_Violence,Ensure_safety_de_escalation_police_involvement,Security_team_police,Law_enforcement
violent_behavior,Active_Threat_Protocol,Evacuation_safety_measures_police_notification,Security_team_police,Immediate_evacuation
violent_behavior,Weapon_Threat_Protocol,Lockdown_evacuation_police_involvement,Security_team_police,Full_lockdown
medical_emergency,Code_Blue,Cardiac_respiratory_arrest_emergency_response,Medical_emergency_team,Immediate_medical_attention
medical_emergency,Overdose_Protocol,Naloxone_administration_medical_attention,Medical_team_emergency_services,Medical_emergency
medical_emergency,Seizure_Protocol,Seizure_safety_medical_monitoring,Medical_team_emergency_services,Medical_emergency
psychiatric_emergency,Code_Psych,Acute_psychosis_psychiatric_evaluation,Psychiatric_team_medical_team,Psychiatric_emergency
psychiatric_emergency,Psychotic_Break_Protocol,Reality_orientation_medication_psychiatric_evaluation,Psychiatric_team_medical_team,Psychiatric_emergency
psychiatric_emergency,Severe_Agitation_Protocol,De_escalation_medication_safety_measures,Psychiatric_team_security_team,Psychiatric_emergency
domestic_violence,Code_DV,Ensure_safety_police_involvement_advocacy_services,Police_domestic_violence_advocates,Law_enforcement
domestic_violence,Active_Abuse_Protocol,Safety_planning_police_involvement_shelter_referral,Police_domestic_violence_advocates,Immediate_safety
domestic_violence,Stalking_Protocol,Documentation_police_involvement_restraining_order,Police_domestic_violence_advocates,Legal_protection
child_abuse,Code_Child,Immediate_reporting_child_protection_medical_evaluation,Child_protective_services_medical_team,Mandatory_reporting
child_abuse,Active_Abuse_Protocol,Child_safety_medical_evaluation_police_involvement,Child_protective_services_police,Child_protection
child_abuse,Neglect_Protocol,Child_safety_assessment_family_intervention,Child_protective_services_social_services,Family_intervention
elder_abuse,Code_Elder,Adult_protection_medical_evaluation_police_involvement,Adult_protective_services_medical_team,Elder_protection
elder_abuse,Active_Abuse_Protocol,Elder_safety_medical_evaluation_legal_intervention,Adult_protective_services_police,Legal_protection
elder_abuse,Neglect_Protocol,Elder_safety_assessment_care_coordination,Adult_protective_services_social_services,Care_coordination
fire_emergency,Code_Red,Fire_evacuation_emergency_response,Fire_department_emergency_services,Immediate_evacuation
fire_emergency,Smoke_Alarm_Protocol,Evacuation_fire_department_notification,Fire_department_security_team,Full_evacuation
fire_emergency,Fire_Suppression_Protocol,Fire_suppression_evacuation_emergency_response,Fire_department_emergency_services,Fire_suppression
