question,category,answer,resource_reference,priority_level
What_are_warning_signs_of_suicide,crisis_assessment,Changes in behavior mood sleep appetite social withdrawal giving away possessions talking about death,suicide_prevention_resources,high
How_to_help_someone_in_crisis,intervention,Stay calm listen without judgment remove means of harm call crisis hotline ensure safety,988_crisis_line,high
When_to_call_911,emergency_response,Immediate danger to self or others active violence medical emergency overdose,emergency_services,immediate
What_is_de_escalation,crisis_management,Techniques to calm agitated person maintain distance speak calmly avoid confrontation,de_escalation_training,medium
How_to_recognize_domestic_abuse,abuse_identification,Physical injuries isolation control behaviors financial control threats,domestic_violence_resources,high
What_are_trauma_triggers,trauma_support,Reminders of past trauma causing distress flashbacks anxiety avoidance,trauma_informed_care,medium
How_to_support_lgbtq_youth,lgbtq_support,Affirm identity provide safe space connect to lgbtq_resources respect pronouns,trevor_project,high
What_is_psychosis,mental_health,Disconnection from reality hallucinations delusions disorganized thinking,psychiatric_evaluation,high
How_to_help_with_panic_attacks,anxiety_support,Deep breathing grounding techniques calm environment medical assessment if severe,anxiety_resources,medium
What_are_substance_withdrawal_symptoms,substance_abuse,Nausea vomiting anxiety tremors seizures medical monitoring needed,substance_abuse_treatment,high
How_to_report_child_abuse,mandatory_reporting,Contact child protective services immediately document concerns ensure child safety,child_protective_services,immediate
What_is_safety_planning,domestic_violence,Plan for leaving abusive situation safe contacts emergency resources escape route,domestic_violence_advocacy,high
How_to_recognize_elder_abuse,elder_support,Unexplained injuries neglect financial exploitation isolation,elder_abuse_hotline,high
What_are_coping_skills,mental_health,Healthy ways to manage stress exercise meditation social support therapy,coping_skills_resources,medium
How_to_access_mental_health_care,healthcare_access,Insurance coverage sliding scale clinics community mental health centers,mental_health_resources,medium
What_is_trauma_informed_care,trauma_support,Understanding trauma impact creating safe environment avoiding retraumatization,trauma_resources,medium
How_to_support_someone_with_depression,depression_support,Listen without judgment encourage treatment maintain contact reduce isolation,depression_resources,medium
What_are_self_harm_warning_signs,self_harm,Unexplained injuries covering body parts isolation access to means,self_harm_prevention,high
How_to_help_with_grief,grief_support,Validate feelings allow expression connect to support groups professional help,grief_resources,medium
What_is_crisis_intervention,crisis_response,Immediate support to stabilize crisis situation ensure safety connect to resources,crisis_intervention_training,high
