protocol_name,trigger_condition,response_time,primary_action,secondary_action
suicide_prevention,suicidal_ideation,immediate,assess_lethality,connect_to_crisis_line
suicide_prevention,suicide_attempt,immediate,medical_attention,psychiatric_evaluation
violence_prevention,threats_of_harm,immediate,de_escalation,police_involvement
violence_prevention,active_violence,immediate,ensure_safety,emergency_services
psychosis_management,hallucinations,urgent,reality_orientation,psychiatric_care
psychosis_management,delusions,urgent,non_confrontational,medication_evaluation
panic_attack_response,severe_anxiety,urgent,breathing_techniques,medical_assessment
panic_attack_response,hyperventilation,urgent,calm_environment,oxygen_if_needed
substance_overdose,overdose_symptoms,immediate,naloxone_administration,emergency_medical
substance_overdose,withdrawal_symptoms,urgent,medical_monitoring,detox_support
self_harm_intervention,active_self_harm,immediate,remove_means,medical_treatment
self_harm_intervention,self_harm_urges,urgent,distraction_techniques,therapeutic_support
domestic_violence,active_abuse,immediate,ensure_safety,police_involvement
domestic_violence,abuse_disclosure,urgent,safety_planning,advocacy_services
child_abuse,child_disclosure,immediate,mandatory_reporting,child_protective_services
child_abuse,suspected_abuse,urgent,investigation,medical_evaluation
elder_abuse,elder_disclosure,urgent,adult_protective_services,medical_assessment
elder_abuse,suspected_neglect,urgent,investigation,care_coordination
lgbtq_crisis,identity_crisis,urgent,affirmative_support,lgbtq_resources
lgbtq_crisis,discrimination_trauma,urgent,trauma_informed_care,legal_advocacy
