psychosis_type,clinical_presentation,intervention_approach,medication_considerations,safety_measures
acute_psychosis,Delusions_hallucinations_disorganized_speech,Reality_orientation_medication_evaluation_safety_assessment,Antipsychotic_medication_consideration,Remove_dangerous_objects_ensure_safety
acute_psychosis,Paranoia_suspiciousness_fear,Calm_environment_trust_building_medication_assessment,Antipsychotic_medication_anxiety_medication,Maintain_distance_avoid_confrontation
acute_psychosis,Disorganized_behavior_agitation,Structured_environment_medication_management_safety,Antipsychotic_medication_sedation_if_needed,Ensure_environmental_safety
bipolar_psychosis,Manic_psychosis_elevated_mood_delusions,Mood_stabilization_antipsychotic_medication_safety,Antipsychotic_medication_mood_stabilizer,Monitor_behavior_ensure_safety
bipolar_psychosis,Depressive_psychosis_guilt_delusions,Suicide_risk_assessment_antidepressant_consideration,Antidepressant_medication_antipsychotic_medication,Suicide_prevention_safety_planning
schizophrenia,Positive_symptoms_delusions_hallucinations,Antipsychotic_medication_reality_orientation_support,Antipsychotic_medication_individualized_dosing,Monitor_symptoms_ensure_safety
schizophrenia,Negative_symptoms_apathy_social_withdrawal,Supportive_intervention_social_engagement_medication,Antipsychotic_medication_social_skills_training,Encourage_engagement_monitor_functioning
substance_induced_psychosis,Substance_related_delusions_hallucinations,Substance_abstinence_medication_management_safety,Antipsychotic_medication_substance_treatment,Monitor_substance_use_ensure_safety
substance_induced_psychosis,Withdrawal_psychosis_delirium,Medical_monitoring_medication_management_safety,Antipsychotic_medication_medical_stabilization,Medical_monitoring_ensure_safety
trauma_related_psychosis,Trauma_based_delusions_flashbacks,Trauma_informed_care_medication_management_safety,Antipsychotic_medication_trauma_therapy,Trauma_sensitive_approach_ensure_safety
trauma_related_psychosis,Dissociative_psychosis_identity_disturbance,Grounding_techniques_medication_management_safety,Antipsychotic_medication_dissociation_treatment,Grounding_techniques_ensure_safety
first_episode_psychosis,Initial_psychotic_break_early_intervention,Early_intervention_medication_education_support,Antipsychotic_medication_psychoeducation,Comprehensive_support_ensure_safety
first_episode_psychosis,Prodromal_symptoms_risk_assessment,Early_detection_intervention_medication_consideration,Antipsychotic_medication_early_intervention,Monitor_symptoms_early_intervention
catatonia,Psychomotor_retardation_stupor,Medical_evaluation_medication_management_safety,Antipsychotic_medication_benzodiazepine_consideration,Medical_monitoring_ensure_safety
catatonia,Psychomotor_excitement_agitation,Medication_management_safety_measures_medical_monitoring,Antipsychotic_medication_sedation_if_needed,Ensure_safety_medical_monitoring
delusional_disorder,Persistent_delusions_without_other_symptoms,Reality_orientation_medication_management_support,Antipsychotic_medication_psychotherapy,Monitor_delusions_ensure_safety
delusional_disorder,Paranoid_delusions_suspiciousness,Trust_building_medication_management_safety,Antipsychotic_medication_trust_building,Build_trust_ensure_safety
brief_psychotic_disorder,Acute_psychosis_resolving_spontaneously,Supportive_care_medication_management_safety,Antipsychotic_medication_brief_course,Monitor_resolution_ensure_safety
brief_psychotic_disorder,Stress_related_psychosis_rapid_resolution,Stress_management_medication_consideration_support,Antipsychotic_medication_stress_management,Stress_reduction_ensure_safety
shared_psychotic_disorder,Folie_a_deux_shared_delusions,Separation_individual_treatment_medication_management,Antipsychotic_medication_individual_treatment,Separate_individuals_ensure_safety
shared_psychotic_disorder,Family_psychosis_shared_symptoms,Family_intervention_individual_treatment_medication,Antipsychotic_medication_family_therapy,Family_intervention_ensure_safety
