metric_category,metric_name,measurement_method,target_standard,data_collection_frequency
response_time,Time_to_crisis_assessment,Minutes_from_contact_to_assessment,within_15_minutes,real_time_tracking
response_time,Time_to_intervention,Minutes_from_assessment_to_intervention,within_30_minutes,real_time_tracking
response_time,Time_to_safety_planning,Minutes_from_crisis_to_safety_plan,within_60_minutes,real_time_tracking
safety_outcomes,Suicide_attempts_post_intervention,Number_of_attempts_within_30_days,zero_attempts,monthly_review
safety_outcomes,Readmission_rate,Percentage_readmitted_within_30_days,less_than_15_percent,monthly_review
safety_outcomes,Self_harm_incidents,Number_of_self_harm_incidents_post_crisis,zero_incidents,monthly_review
safety_outcomes,Violence_incidents,Number_of_violence_incidents_post_crisis,zero_incidents,monthly_review
patient_satisfaction,Crisis_intervention_satisfaction,Patient_satisfaction_survey_scores,above_4_0_scale,quarterly_survey
patient_satisfaction,Follow_up_compliance,Percentage_attending_follow_up_appointments,above_80_percent,monthly_review
patient_satisfaction,Recommendation_likelihood,Would_recommend_service_to_others,above_90_percent,quarterly_survey
clinical_effectiveness,Symptom_reduction,Reduction_in_symptom_severity_scores,above_50_percent_improvement,monthly_review
clinical_effectiveness,Functional_improvement,Improvement_in_daily_functioning_scores,above_30_percent_improvement,monthly_review
clinical_effectiveness,Crisis_resolution_rate,Percentage_of_crises_resolved_successfully,above_95_percent,monthly_review
staff_competency,Training_completion_rate,Percentage_of_staff_completing_required_training,100_percent,quarterly_review
staff_competency,Competency_assessment_scores,Staff_competency_test_scores,above_85_percent,annual_review
staff_competency,Supervision_compliance,Percentage_of_supervision_sessions_attended,above_90_percent,monthly_review
documentation_quality,Documentation_completeness,Percentage_of_required_fields_completed,above_95_percent,monthly_review
documentation_quality,Documentation_accuracy,Percentage_of_documentation_errors,less_than_5_percent,monthly_review
documentation_quality,Timeliness_of_documentation,Percentage_documented_within_24_hours,above_90_percent,monthly_review
resource_utilization,Average_length_of_crisis_intervention,Minutes_per_crisis_intervention,less_than_120_minutes,monthly_review
resource_utilization,Staff_efficiency,Number_of_crises_handled_per_staff_per_day,above_5_crises,monthly_review
resource_utilization,Resource_allocation,Percentage_of_resources_used_effectively,above_85_percent,monthly_review
