assessment_tool,risk_domain,scoring_method,cutoff_scores,clinical_interpretation
Columbia_Suicide_Severity_Rating_Scale,suicide_risk,0_5_scale_with_subscales,score_4_5_high_risk,Immediate_intervention_required
Beck_Scale_for_Suicide_Ideation,suicide_ideation,0_38_scale,score_9_high_risk,Clinical_intervention_needed
Suicide_Assessment_Five_Step_Evaluation,suicide_risk,5_step_clinical_evaluation,any_positive_step_risk,Comprehensive_assessment_required
SAD_PERSONS_Scale,suicide_risk,0_10_scale,score_7_10_high_risk,Hospitalization_consideration
Modified_SAD_PERSONS_Scale,suicide_risk,0_10_scale,score_7_10_high_risk,Intensive_monitoring_required
Risk_Assessment_Scale_for_Suicide,suicide_risk,0_100_scale,score_70_high_risk,Immediate_safety_planning
Violence_Risk_Appraisal_Guide,violence_risk,0_24_scale,score_18_high_risk,Safety_planning_required
Historical_Clinical_Risk_Management_20,violence_risk,0_40_scale,score_30_high_risk,Intensive_monitoring_needed
Short_Term_Assessment_of_Risk_and_Treatability,violence_risk,0_42_scale,score_35_high_risk,Immediate_intervention
Dangerousness_Assessment_Scale,violence_risk,0_20_scale,score_15_high_risk,Safety_measures_required
Substance_Abuse_Screening_Test,substance_risk,0_20_scale,score_6_high_risk,Treatment_referral_needed
Alcohol_Use_Disorders_Identification_Test,alcohol_risk,0_40_scale,score_20_high_risk,Specialized_treatment
Drug_Abuse_Screening_Test,drug_risk,0_20_scale,score_6_high_risk,Substance_abuse_treatment
CAGE_Questionnaire,alcohol_risk,0_4_scale,score_2_high_risk,Alcohol_assessment_required
Brief_Drug_Abuse_Screening_Test,drug_risk,0_10_scale,score_3_high_risk,Drug_assessment_required
Post_Traumatic_Stress_Checklist,trauma_risk,0_80_scale,score_50_high_risk,Trauma_treatment_needed
Primary_Care_PTSD_Screen,trauma_risk,0_4_scale,score_3_high_risk,Trauma_assessment_required
Trauma_Screening_Questionnaire,trauma_risk,0_10_scale,score_6_high_risk,Trauma_intervention_needed
Child_Abuse_Potential_Inventory,child_abuse_risk,0_486_scale,score_166_high_risk,Child_protection_required
Elder_Abuse_Suspicion_Index,elder_abuse_risk,0_15_scale,score_3_high_risk,Elder_protection_required
Domestic_Violence_Screening_Questionnaire,domestic_violence_risk,0_4_scale,score_1_high_risk,Domestic_violence_intervention
