safety_component,planning_element,implementation_method,effectiveness_rating,review_frequency
crisis_triggers,Identify_personal_triggers,List_specific_situations_emotions_events_that_precipitate_crisis,high_effectiveness,weekly_review
crisis_triggers,Early_warning_signs,Document_behavioral_emotional_physical_signs_of_escalation,high_effectiveness,weekly_review
crisis_triggers,Environmental_factors,Identify_environmental_triggers_stressors_unsafe_situations,medium_effectiveness,monthly_review
coping_strategies,Immediate_coping_skills,List_effective_coping_techniques_for_immediate_use,high_effectiveness,weekly_review
coping_strategies,Distraction_techniques,Identify_activities_to_distract_from_crisis_thoughts,medium_effectiveness,weekly_review
coping_strategies,Grounding_exercises,Document_grounding_techniques_for_dissociation_anxiety,high_effectiveness,weekly_review
social_support,Trusted_contacts,List_people_to_contact_during_crisis_with_phone_numbers,high_effectiveness,monthly_review
social_support,Professional_contacts,Document_mental_health_providers_crisis_services_contact_info,high_effectiveness,monthly_review
social_support,Support_groups,Identify_relevant_support_groups_meeting_times_locations,medium_effectiveness,monthly_review
professional_resources,Crisis_hotlines,Document_crisis_hotline_numbers_text_services,high_effectiveness,monthly_review
professional_resources,Emergency_services,List_emergency_contacts_911_local_emergency_services,high_effectiveness,monthly_review
professional_resources,Healthcare_providers,Document_primary_care_psychiatrist_therapist_contact_info,high_effectiveness,monthly_review
environmental_safety,Home_safety,Remove_or_secure_dangerous_objects_weapons_medications,high_effectiveness,weekly_review
environmental_safety,Safe_spaces,Identify_safe_locations_at_home_work_community,medium_effectiveness,monthly_review
environmental_safety,Emergency_exits,Plan_escape_routes_safe_places_to_go,medium_effectiveness,monthly_review
self_care_plan,Basic_needs,Plan_for_sleep_nutrition_exercise_hygiene,medium_effectiveness,weekly_review
self_care_plan,Relaxation_techniques,Document_relaxation_meditation_breathing_exercises,medium_effectiveness,weekly_review
self_care_plan,Positive_activities,List_enjoyable_activities_hobbies_positive_distractions,medium_effectiveness,weekly_review
crisis_escalation,Warning_levels,Define_warning_levels_appropriate_responses_for_each,high_effectiveness,weekly_review
crisis_escalation,Emergency_protocols,Document_emergency_procedures_when_to_call_911,high_effectiveness,monthly_review
crisis_escalation,De_escalation_techniques,List_personal_de_escalation_methods_what_works,high_effectiveness,weekly_review
