training_area,competency_requirement,training_frequency,assessment_method,certification_required
crisis_recognition,Identify_warning_signs_assess_risk_levels,annual_training,written_exam_practical_assessment,Yes
crisis_recognition,Recognize_mental_health_crises_substance_abuse,annual_training,case_studies_role_playing,Yes
crisis_recognition,Assess_suicide_risk_violence_risk,annual_training,standardized_assessment_tools,Yes
de_escalation_skills,Apply_verbal_de_escalation_techniques,quarterly_training,role_playing_simulation_exercises,Yes
de_escalation_skills,Manage_agitation_aggressive_behavior,quarterly_training,practical_demonstrations,Yes
de_escalation_skills,Handle_psychotic_episodes_paranoia,annual_training,case_studies_simulation,Yes
safety_planning,Develop_individualized_safety_plans,annual_training,practical_exercises_case_studies,Yes
safety_planning,Create_crisis_response_plans,annual_training,plan_development_practice,Yes
safety_planning,Implement_emergency_protocols,quarterly_training,emergency_drills_simulation,Yes
legal_requirements,Understand_mandatory_reporting_laws,annual_training,legal_scenarios_case_studies,Yes
legal_requirements,Navigate_consent_guardianship_issues,annual_training,legal_case_studies,Yes
legal_requirements,Document_crisis_interventions_legally,annual_training,documentation_review,Yes
cultural_competency,Provide_culturally_sensitive_crisis_intervention,annual_training,cultural_scenarios_role_playing,Yes
cultural_competency,Address_lgbtq_specific_crisis_needs,annual_training,lgbtq_case_studies,Yes
cultural_competency,Work_with_diverse_populations,annual_training,cultural_competency_assessment,Yes
trauma_informed_care,Apply_trauma_informed_principles,annual_training,trauma_scenarios_case_studies,Yes
trauma_informed_care,Support_trauma_survivors_crisis,annual_training,trauma_simulation_exercises,Yes
trauma_informed_care,Avoid_retraumatization_practices,annual_training,trauma_informed_assessment,Yes
substance_abuse_crisis,Recognize_substance_abuse_crises,annual_training,substance_scenarios_case_studies,Yes
substance_abuse_crisis,Intervene_substance_related_crises,annual_training,intervention_practice_simulation,Yes
substance_abuse_crisis,Connect_to_substance_abuse_treatment,annual_training,referral_practice_case_studies,Yes
domestic_violence_crisis,Identify_domestic_violence_warning_signs,annual_training,domestic_violence_scenarios,Yes
domestic_violence_crisis,Support_domestic_violence_survivors,annual_training,survivor_support_practice,Yes
domestic_violence_crisis,Coordinate_with_domestic_violence_services,annual_training,coordination_practice,Yes
child_crisis_intervention,Recognize_child_abuse_neglect,annual_training,child_crisis_scenarios,Yes
child_crisis_intervention,Support_children_crisis_developmentally,annual_training,child_intervention_practice,Yes
child_crisis_intervention,Work_with_families_children,annual_training,family_intervention_practice,Yes
elder_crisis_intervention,Identify_elder_abuse_neglect,annual_training,elder_crisis_scenarios,Yes
elder_crisis_intervention,Support_elderly_crisis_geriatric,annual_training,elder_intervention_practice,Yes
elder_crisis_intervention,Coordinate_elder_care_services,annual_training,elder_care_coordination,Yes
medication_management,Understand_crisis_medications,annual_training,medication_education_assessment,Yes
medication_management,Monitor_medication_side_effects,annual_training,medication_monitoring_practice,Yes
medication_management,Administer_emergency_medications,annual_training,medication_administration_certification,Yes
documentation_standards,Document_crisis_interventions_accurately,quarterly_training,documentation_review_practice,Yes
documentation_standards,Maintain_confidentiality_standards,annual_training,confidentiality_assessment,Yes
documentation_standards,Complete_legal_documentation_requirements,annual_training,legal_documentation_review,Yes
quality_assurance,Participate_in_quality_improvement,annual_training,quality_assurance_participation,No
quality_assurance,Review_crisis_outcomes_data,annual_training,outcome_data_review,No
quality_assurance,Implement_evidence_based_practices,annual_training,evidence_based_practice_assessment,Yes
