substance_type,crisis_situation,intervention_approach,medical_considerations,referral_resources
alcohol,acute_intoxication,Monitor_vital_signs_ensure_safety_medical_assessment,Respiratory_depression_hypoglycemia_aspiration_risk,Medical_emergency_services
alcohol,withdrawal_syndrome,Medical_monitoring_benzodiazepine_protocol_seizure_prevention,Seizures_delirium_tremens_cardiovascular_instability,Detoxification_services
alcohol,alcohol_poisoning,Immediate_medical_attention_naloxone_consideration,Respiratory_failure_hypothermia_cardiac_arrest,Emergency_medical_services
opioids,overdose,Immediate_naloxone_administration_rescue_breathing,Respiratory_depression_unconsciousness_death_risk,Overdose_prevention_services
opioids,withdrawal_symptoms,Medical_monitoring_medication_assisted_treatment,Severe_discomfort_dehydration_electrolyte_imbalance,Medication_assisted_treatment
opioids,addiction_crisis,Harm_reduction_education_treatment_referral,Infectious_diseases_overdose_risk_social_impairment,Addiction_treatment_centers
stimulants,methamphetamine_crisis,Calm_environment_de_escalation_medical_monitoring,Agitation_psychosis_hyperthermia_cardiovascular_events,Psychiatric_emergency_services
stimulants,cocaine_crisis,Cardiac_monitoring_anxiety_management_medical_assessment,Chest_pain_arrhythmias_stroke_risk,Cardiac_emergency_services
stimulants,stimulant_psychosis,Psychiatric_evaluation_antipsychotic_medication_safety,Paranoia_aggression_self_harm_risk,Psychiatric_emergency_services
benzodiazepines,overdose,Respiratory_monitoring_flumazenil_consideration,Respiratory_depression_sedation_paradoxical_reactions,Medical_emergency_services
benzodiazepines,withdrawal,Gradual_tapering_medical_monitoring_seizure_prevention,Seizures_rebound_anxiety_psychosis,Medical_detoxification_services
cannabis,acute_psychosis,Reality_orientation_antipsychotic_medication_safety,Paranoia_anxiety_panic_attacks,Psychiatric_emergency_services
cannabis,acute_anxiety,Anxiety_management_grounding_techniques_medical_assessment,Panic_attacks_paranoia_psychosis,Anxiety_treatment_services
hallucinogens,acute_psychosis,Calm_environment_reality_orientation_medical_monitoring,Persistent_psychosis_flashbacks_self_harm,Psychiatric_emergency_services
hallucinogens,bad_trip,Calm_environment_grounding_techniques_medical_assessment,Panic_attacks_self_harm_risk,Psychiatric_emergency_services
inhalants,acute_intoxication,Medical_emergency_attention_cardiac_monitoring,Brain_damage_cardiac_arrhythmias_sudden_death,Medical_emergency_services
inhalants,chronic_abuse,Medical_evaluation_neurological_assessment_treatment_referral,Brain_damage_kidney_damage_liver_damage,Neurological_services
polysubstance,multiple_substance_overdose,Comprehensive_medical_assessment_naloxone_administration,Complex_interactions_unpredictable_effects,Medical_emergency_services
polysubstance,withdrawal_complexity,Medical_monitoring_individualized_treatment_plan,Complex_withdrawal_symptoms_medical_instability,Medical_detoxification_services
synthetic_drugs,unknown_substance_crisis,Medical_emergency_attention_symptom_management,Unknown_effects_toxicity_risk,Medical_emergency_services
synthetic_drugs,designer_drug_crisis,Medical_monitoring_symptom_management_identification,Unpredictable_effects_long_term_unknown,Medical_emergency_services
