training_module,learning_objectives,content_topics,duration_hours,assessment_method
crisis_recognition,Identify_warning_signs_assess_risk_levels_prioritize_response,Suicide_warning_signs_risk_factors_assessment_tools,4_hours,written_exam
crisis_recognition,Recognize_mental_health_crises_substance_abuse_psychosis,DSM_5_criteria_crisis_indicators_behavioral_signs,6_hours,case_studies
de_escalation_techniques,Apply_verbal_de_escalation_manage_agitation_ensure_safety,Communication_techniques_safety_protocols_physical_management,8_hours,role_playing
de_escalation_techniques,Handle_psychotic_episodes_manage_paranoia_delusions,Psychosis_management_reality_orientation_medication_awareness,6_hours,simulation_exercises
safety_planning,Develop_individualized_safety_plans_identify_triggers,Safety_planning_process_trigger_identification_coping_strategies,4_hours,practical_exercise
safety_planning,Create_crisis_response_plans_emergency_contacts,Emergency_planning_resource_identification_follow_up_procedures,3_hours,plan_development
legal_requirements,Understand_mandatory_reporting_duty_to_warn_legal_holds,Mandatory_reporting_laws_legal_obligations_documentation_requirements,4_hours,legal_scenarios
legal_requirements,Navigate_consent_issues_guardianship_legal_capacity,Consent_laws_guardianship_legal_capacity_assessment,3_hours,legal_case_studies
cultural_competency,Provide_culturally_sensitive_crisis_intervention,Cultural_differences_spiritual_beliefs_language_barriers,4_hours,cultural_scenarios
cultural_competency,Address_lgbtq_specific_crisis_needs,lgbtq_identity_affirmation_discrimination_trauma,3_hours,lgbtq_case_studies
trauma_informed_care,Apply_trauma_informed_principles_crisis_intervention,Trauma_impact_triggers_safety_planning_avoiding_retraumatization,6_hours,trauma_scenarios
trauma_informed_care,Support_trauma_survivors_manage_flashbacks_dissociation,Trauma_responses_grounding_techniques_safety_planning,4_hours,trauma_simulation
substance_abuse_crisis,Recognize_overdose_withdrawal_substance_induced_psychosis,Substance_effects_overdose_signs_withdrawal_symptoms,4_hours,substance_scenarios
substance_abuse_crisis,Intervene_substance_related_crises_connect_to_treatment,Substance_crisis_intervention_treatment_referrals_harm_reduction,3_hours,intervention_practice
domestic_violence_crisis,Identify_domestic_violence_warning_signs_safety_planning,Domestic_violence_indicators_safety_planning_advocacy_services,5_hours,domestic_violence_scenarios
domestic_violence_crisis,Support_domestic_violence_survivors_legal_protection,Survivor_support_legal_options_protective_orders_advocacy,4_hours,survivor_support_practice
child_crisis_intervention,Recognize_child_abuse_neglect_developmental_crises,Child_development_abuse_indicators_mandatory_reporting,4_hours,child_crisis_scenarios
child_crisis_intervention,Support_children_crisis_developmental_considerations,Child_crisis_intervention_developmental_needs_family_support,3_hours,child_intervention_practice
elder_crisis_intervention,Identify_elder_abuse_neglect_geriatric_crises,Elder_abuse_indicators_geriatric_mental_health_capacity_assessment,4_hours,elder_crisis_scenarios
elder_crisis_intervention,Support_elderly_crisis_geriatric_considerations,Elder_crisis_intervention_geriatric_needs_family_involvement,3_hours,elder_intervention_practice
