trauma_principle,application_method,intervention_approach,avoidance_strategy,training_component
safety_first,Create_physical_emotional_safety,Ensure_environmental_safety_emotional_support,Retraumatization_through_unsafe_practices,Safety_assessment_training
safety_first,Establish_safety_plans,Develop_individualized_safety_planning,Forcing_safety_decisions,Safety_planning_skills
trustworthiness,Build_trust_through_consistency,Consistent_reliable_responses_transparency,Breaking_promises_inconsistent_behavior,Trust_building_techniques
trustworthiness,Maintain_transparency,Clear_communication_about_process_decisions,Hidden_agendas_secretive_behavior,Transparency_practices
choice_empowerment,Provide_meaningful_choices,Offer_limited_meaningful_options,Forcing_decisions_removing_agency,Choice_offering_skills
choice_empowerment,Respect_autonomy,Respect_individual_decisions_preferences,Coercion_manipulation,Autonomy_respect_training
collaboration,Work_as_partners,Collaborative_approach_to_crisis_resolution,Authoritarian_controlling_approach,Collaboration_skills
collaboration,Share_power,Equal_partnership_in_decision_making,Power_imbalances_hierarchical_approaches,Power_sharing_practices
empowerment,Focus_on_strengths,Identify_build_on_individual_strengths,Deficit_focused_approaches,Strength_based_practices
empowerment,Promote_self_advocacy,Support_individual_advocacy_skills,Dependency_creating_approaches,Advocacy_skill_building
cultural_humility,Respect_cultural_differences,Learn_from_individual_cultural_perspectives,Cultural_imposition_assumptions,Cultural_humility_training
cultural_humility,Address_power_dynamics,Recognize_address_cultural_power_dynamics,Cultural_superiority_biases,Power_dynamics_training
understanding_trauma,Recognize_trauma_responses,Understand_normal_responses_to_abnormal_events,Pathologizing_normal_responses,Trauma_response_education
understanding_trauma,Validate_trauma_experiences,Validate_individual_trauma_experiences,Minimizing_dismissing_trauma,Trauma_validation_skills
avoiding_retraumatization,Use_trauma_sensitive_approaches,Approaches_that_avoid_retraumatization,Retraumatizing_practices_procedures,Retraumatization_prevention
avoiding_retraumatization,Monitor_triggers,Identify_avoid_trauma_triggers,Exposing_to_triggers_without_support,Trigger_identification_training
holistic_approach,Address_multiple_needs,Address_physical_emotional_social_spiritual_needs,Focusing_only_on_crisis_symptoms,Holistic_assessment_skills
holistic_approach,Coordinate_care,Coordinate_with_other_providers_services,Fragmented_care_approaches,Care_coordination_training
resilience_focus,Build_resilience,Focus_on_building_coping_resilience,Focusing_only_on_problems,Resilience_building_skills
resilience_focus,Promote_growth,Support_post_traumatic_growth,Focusing_only_on_pathology,Growth_promotion_training
self_care_support,Support_self_care,Encourage_healthy_self_care_practices,Neglecting_self_care_needs,Self_care_education
self_care_support,Model_self_care,Model_healthy_self_care_practices,Burnout_compassion_fatigue,Self_care_modeling_training
