myth,truth,explanation,impact
You need a lot of money to start investing,You can start with as little as $1,Many platforms offer fractional shares and low minimums,Encourages early investing
Timing the market is the key to success,Time in the market beats timing the market,Long-term investing typically outperforms market timing,Promotes buy-and-hold strategy
Bonds are always safe investments,Bonds can lose value when interest rates rise,Interest rate risk affects bond prices,Important for risk management
Diversification means buying many stocks,Diversification means different asset classes,Correlation matters more than number of holdings,Better portfolio construction
High returns always mean high risk,Not always - some strategies can have good risk-adjusted returns,Sharpe ratio and other metrics matter more,Better risk assessment
You should sell when the market is down,Often the worst time to sell,Market downturns can be buying opportunities,Prevents panic selling
Dividend stocks are always safe,Dividend stocks can still lose value,Focus on dividend sustainability and growth,Better dividend investing
Real estate always goes up,Real estate markets can decline significantly,Location and timing matter greatly,Realistic real estate expectations
Gold is always a safe haven,Gold can be volatile and doesn't always protect against inflation,Gold has specific use cases,Better gold investing
Cryptocurrency is a guaranteed path to wealth,Crypto is highly speculative and volatile,Extreme risk with potential for extreme loss,Realistic crypto expectations
Active management always beats passive,Most active managers underperform their benchmarks,Low-cost index funds often win,Supports passive investing
You should invest only in what you know,This can lead to overconcentration in familiar sectors,Diversification across sectors is important,Better diversification
Small-cap stocks always outperform,Small caps have higher risk and may not always outperform,Size factor varies over time,Realistic small-cap expectations
International investing is too risky,International diversification can reduce portfolio risk,Currency and political risks exist but benefits often outweigh,Supports global diversification
You can't beat the market,Some strategies can outperform over time,But most individual investors don't,Realistic expectations
