guideline,description,recommendation,priority,benefits,considerations
Contribution Limits,Maximum annual contribution,Max out if possible,Very High,Tax advantages, compound growth,Income limits may apply
Traditional vs Roth,Pre-tax vs after-tax contributions,Consider current and future tax rates,High,Tax optimization,Current vs future tax bracket
Income Limits,Roth IRA eligibility based on income,Check limits annually,High,Maintain eligibility,Phase-out ranges
Required Minimum Distributions,Mandatory withdrawals at 72,Plan for RMDs,Medium,Avoid penalties,Consider Roth conversions
Catch-up Contributions,Extra contributions for 50+,Take advantage if possible,High,Accelerate savings,Only available at 50+
Rollover Rules,Transferring from 401k to IRA,Follow 60-day rule,High,Preserve tax advantages,Avoid taxes and penalties
Asset Allocation,Investment mix based on goals,Age-appropriate allocation,High,Optimal risk-return balance,Review annually
Diversification,Spread across asset classes,Don't concentrate in one area,High,Reduce risk, improve returns,Consider target date funds
Expense Ratios,Fund management fees,Choose low-cost options,High,Lower fees = higher returns,Compare fund options
Rebalancing,Adjust allocation periodically,Annual rebalancing,Medium,Maintain target allocation,Consider automatic rebalancing
Early Withdrawal Penalties,10% penalty before 59.5,Avoid early withdrawals,Very High,Preserve retirement savings,Exceptions exist
Beneficiary Designations,Who inherits your IRA,Keep updated,Medium,Ensure proper inheritance,Avoid probate issues
Spousal IRA,IRA for non-working spouse,Consider if eligible,Medium,Double retirement savings,Income requirements
Backdoor Roth,Converting traditional to Roth,Consider if income too high,Medium,Tax-free growth,Pro-rata rules apply
SEP IRA,Self-employed retirement plan,Consider if self-employed,High,High contribution limits,Only for self-employed
SIMPLE IRA,Small business retirement plan,Consider for small business,Medium,Easy to administer,Lower limits than 401k
