indicator,description,what_it_measures,normal_range,bullish_signal,bearish_signal
S&P 500,US large-cap stock index,Market performance,2000-5000,Rising trend,Falling trend
NASDAQ,Technology-heavy index,Tech sector performance,8000-16000,Rising trend,Falling trend
Dow Jones,30 large US companies,Blue chip performance,25000-40000,Rising trend,Falling trend
VIX,Fear index,Market volatility,10-30,Low volatility,High volatility
10-Year Treasury,Government bond yield,Interest rates,2-6%,Low rates,High rates
Federal Funds Rate,Central bank rate,Monetary policy,0-6%,Low rates,High rates
Unemployment Rate,Job market health,Economic strength,3-8%,Low unemployment,High unemployment
Inflation Rate,Price level changes,Economic health,1-4%,Low inflation,High inflation
GDP Growth,Economic output,Economic health,1-4%,Strong growth,Weak growth
Consumer Confidence,Consumer sentiment,Economic outlook,50-120,High confidence,Low confidence
Housing Starts,New home construction,Real estate market,500k-2M,High starts,Low starts
Oil Prices,Energy costs,Inflation and growth,40-120,Stable prices,Volatile prices
Gold Prices,Safe haven asset,Risk sentiment,1500-2500,Rising prices,Falling prices
Dollar Index,US currency strength,International trade,90-110,Strong dollar,Weak dollar
Bitcoin Price,Cryptocurrency leader,Digital asset sentiment,20000-80000,Rising price,Falling price
