topic,indicator,description,severity_level,intervention_type
crisis_indicators,suicidal_ideation,Expressing thoughts of death or suicide,high,immediate_intervention
crisis_indicators,self_harm,Engaging in self-injurious behaviors,high,immediate_intervention
crisis_indicators,psychosis,Experiencing hallucinations or delusions,high,psychiatric_evaluation
crisis_indicators,severe_anxiety,Panic attacks or extreme anxiety symptoms,medium,urgent_care
crisis_indicators,depression,Severe depressive symptoms lasting weeks,medium,mental_health_support
crisis_indicators,substance_abuse,Increased drug or alcohol use,medium,substance_abuse_treatment
crisis_indicators,isolation,Withdrawing from social interactions,low,outreach_support
crisis_indicators,sleep_disturbance,Significant changes in sleep patterns,low,monitoring
crisis_indicators,appetite_changes,Drastic changes in eating habits,low,monitoring
crisis_indicators,agitation,Increased irritability or restlessness,medium,de_escalation
