age_range,stock_allocation,bond_allocation,cash_allocation,strategy,notes
20-30,90,5,5,Aggressive Growth,Focus on growth, time to recover from market downturns
30-40,85,10,5,Growth,Still aggressive but starting to add stability
40-50,75,20,5,Moderate Growth,Balancing growth with risk management
50-60,60,35,5,Moderate Conservative,Preserving capital while maintaining growth
60-65,50,45,5,Conservative,Preparing for retirement, reducing volatility
65-70,40,55,5,Income Focus,Generating income while preserving capital
70-75,35,60,5,Capital Preservation,Focus on stability and income
75+,30,65,5,Conservative Income,Maximum capital preservation
IRA_contribution_limit_2024,7000,0,0,Traditional IRA,Under 50 years old
IRA_contribution_limit_2024_50plus,8000,0,0,Traditional IRA,Catch-up contribution for 50+
401k_contribution_limit_2024,23000,0,0,401k,Under 50 years old
401k_contribution_limit_2024_50plus,30500,0,0,401k,Catch-up contribution for 50+
Roth_income_limit_single,146000,0,0,Roth IRA,Single filers phase-out begins
Roth_income_limit_married,230000,0,0,Roth IRA,Married filing jointly phase-out begins
